Accession,Technology
GPL13683,spotted DNA/cDNA
GPL13324,spotted DNA/cDNA
GPL13673,in situ oligonucleotide
GPL13675,in situ oligonucleotide
GPL13676,high-throughput sequencing
GPL13677,high-throughput sequencing
GPL13678,high-throughput sequencing
GPL8293,in situ oligonucleotide
GPL10546,spotted oligonucleotide
GPL10774,in situ oligonucleotide
GPL11227,in situ oligonucleotide
GPL11309,oligonucleotide beads
GPL11350,oligonucleotide beads
GPL11370,in situ oligonucleotide
GPL11441,in situ oligonucleotide
GPL13126,in situ oligonucleotide
GPL13127,in situ oligonucleotide
GPL13226,in situ oligonucleotide
GPL13347,spotted oligonucleotide
GPL13447,in situ oligonucleotide
GPL13485,in situ oligonucleotide
GPL13511,in situ oligonucleotide
GPL13645,oligonucleotide beads
GPL13671,high-throughput sequencing
GPL13672,high-throughput sequencing
GPL11167,in situ oligonucleotide
GPL13115,spotted oligonucleotide
GPL13136,spotted DNA/cDNA
GPL13273,spotted oligonucleotide
GPL13662,spotted oligonucleotide
GPL13663,high-throughput sequencing
GPL13667,in situ oligonucleotide
GPL13669,spotted peptide or protein
GPL11123,oligonucleotide beads
GPL13522,in situ oligonucleotide
GPL13654,in situ oligonucleotide
GPL10413,spotted DNA/cDNA
GPL13650,in situ oligonucleotide
GPL13656,high-throughput sequencing
GPL13657,high-throughput sequencing
GPL13659,high-throughput sequencing
GPL11193,in situ oligonucleotide
GPL11194,in situ oligonucleotide
GPL11338,spotted oligonucleotide
GPL13641,in situ oligonucleotide
GPL13634,in situ oligonucleotide
GPL13637,in situ oligonucleotide
GPL13640,spotted oligonucleotide
GPL13642,in situ oligonucleotide
GPL13643,in situ oligonucleotide
GPL10567,in situ oligonucleotide
GPL10585,in situ oligonucleotide
GPL10588,in situ oligonucleotide
GPL13636,in situ oligonucleotide
GPL11314,in situ oligonucleotide
GPL13619,spotted DNA/cDNA
GPL13620,spotted DNA/cDNA
GPL13635,in situ oligonucleotide
GPL13623,spotted DNA/cDNA
GPL13625,spotted oligonucleotide
GPL13609,spotted DNA/cDNA
GPL13627,in situ oligonucleotide
GPL13628,high-throughput sequencing
GPL5755,spotted DNA/cDNA
GPL13617,high-throughput sequencing
GPL13621,in situ oligonucleotide
GPL11028,in situ oligonucleotide
GPL13606,in situ oligonucleotide
GPL10422,spotted oligonucleotide
GPL10423,spotted oligonucleotide
GPL10441,in situ oligonucleotide
GPL13567,in situ oligonucleotide
GPL13568,in situ oligonucleotide
GPL13569,in situ oligonucleotide
GPL13570,in situ oligonucleotide
GPL13571,in situ oligonucleotide
GPL13572,in situ oligonucleotide
GPL13573,in situ oligonucleotide
GPL13574,in situ oligonucleotide
GPL13575,in situ oligonucleotide
GPL13576,in situ oligonucleotide
GPL13577,in situ oligonucleotide
GPL13578,in situ oligonucleotide
GPL13579,in situ oligonucleotide
GPL13580,in situ oligonucleotide
GPL13581,in situ oligonucleotide
GPL13582,in situ oligonucleotide
GPL13583,in situ oligonucleotide
GPL13584,in situ oligonucleotide
GPL13585,in situ oligonucleotide
GPL13586,in situ oligonucleotide
GPL13587,in situ oligonucleotide
GPL13588,in situ oligonucleotide
GPL13589,in situ oligonucleotide
GPL13590,in situ oligonucleotide
GPL13591,in situ oligonucleotide
GPL13592,in situ oligonucleotide
GPL13593,in situ oligonucleotide
GPL13594,in situ oligonucleotide
GPL13595,in situ oligonucleotide
GPL13596,in situ oligonucleotide
GPL13597,in situ oligonucleotide
GPL13598,in situ oligonucleotide
GPL13599,in situ oligonucleotide
GPL13600,in situ oligonucleotide
GPL13601,in situ oligonucleotide
GPL13602,in situ oligonucleotide
GPL13603,in situ oligonucleotide
GPL13604,in situ oligonucleotide
GPL13605,in situ oligonucleotide
GPL13607,in situ oligonucleotide
GPL13535,in situ oligonucleotide
GPL13539,high-throughput sequencing
GPL13533,spotted oligonucleotide
GPL11271,in situ oligonucleotide
GPL13510,in situ oligonucleotide
GPL13526,in situ oligonucleotide
GPL13534,oligonucleotide beads
GPL6639,in situ oligonucleotide
GPL7192,oligonucleotide beads
GPL7306,oligonucleotide beads
GPL7312,in situ oligonucleotide
GPL13525,high-throughput sequencing
GPL13528,spotted oligonucleotide
GPL13530,high-throughput sequencing
GPL9903,in situ oligonucleotide
GPL10315,spotted oligonucleotide
GPL13412,in situ oligonucleotide
GPL13415,spotted oligonucleotide
GPL13518,high-throughput sequencing
GPL11052,spotted oligonucleotide
GPL13263,spotted DNA/cDNA
GPL13509,spotted oligonucleotide
GPL13512,high-throughput sequencing
GPL13507,spotted oligonucleotide
GPL13505,RT-PCR
GPL13506,RT-PCR
GPL13488,in situ oligonucleotide
GPL13498,in situ oligonucleotide
GPL8521,spotted DNA/cDNA
GPL10421,spotted oligonucleotide
GPL13480,spotted DNA/cDNA
GPL13481,spotted DNA/cDNA
GPL13486,spotted oligonucleotide
GPL13493,in situ oligonucleotide
GPL13495,high-throughput sequencing
GPL13497,in situ oligonucleotide
GPL13491,high-throughput sequencing
GPL13492,in situ oligonucleotide
GPL11065,in situ oligonucleotide
GPL11674,in situ oligonucleotide
GPL10190,spotted oligonucleotide
GPL10808,in situ oligonucleotide
GPL11619,in situ oligonucleotide
GPL13457,spotted oligonucleotide
GPL13458,high-throughput sequencing
GPL13459,high-throughput sequencing
GPL13460,spotted oligonucleotide
GPL13461,high-throughput sequencing
GPL13462,high-throughput sequencing
GPL13464,high-throughput sequencing
GPL13465,high-throughput sequencing
GPL13466,high-throughput sequencing
GPL13467,high-throughput sequencing
GPL13468,high-throughput sequencing
GPL13469,high-throughput sequencing
GPL13470,high-throughput sequencing
GPL13471,high-throughput sequencing
GPL13472,high-throughput sequencing
GPL13473,high-throughput sequencing
GPL11070,in situ oligonucleotide
GPL11071,in situ oligonucleotide
GPL13455,in situ oligonucleotide
GPL13209,spotted oligonucleotide
GPL13450,in situ oligonucleotide
GPL13425,in situ oligonucleotide
GPL13448,spotted oligonucleotide
GPL10368,in situ oligonucleotide
GPL13442,in situ oligonucleotide
GPL13443,in situ oligonucleotide
GPL11383,in situ oligonucleotide
GPL13387,spotted oligonucleotide
GPL13426,in situ oligonucleotide
GPL13440,in situ oligonucleotide
GPL10406,spotted oligonucleotide
GPL10868,in situ oligonucleotide
GPL13119,spotted oligonucleotide
GPL13427,in situ oligonucleotide
GPL13432,in situ oligonucleotide
GPL10338,spotted oligonucleotide
GPL11304,in situ oligonucleotide
GPL13188,spotted oligonucleotide
GPL13391,spotted oligonucleotide
GPL13429,high-throughput sequencing
GPL13431,high-throughput sequencing
GPL13433,high-throughput sequencing
GPL13435,high-throughput sequencing
GPL13437,high-throughput sequencing
GPL13438,high-throughput sequencing
GPL13439,high-throughput sequencing
GPL10345,spotted DNA/cDNA
GPL10430,spotted DNA/cDNA
GPL13330,in situ oligonucleotide
GPL13419,spotted oligonucleotide
GPL13420,in situ oligonucleotide
GPL13421,spotted oligonucleotide
GPL13423,in situ oligonucleotide
GPL13150,in situ oligonucleotide
GPL13192,in situ oligonucleotide
GPL13408,spotted oligonucleotide
GPL13406,other
GPL13413,high-throughput sequencing
GPL13414,high-throughput sequencing
GPL13416,high-throughput sequencing
GPL13417,high-throughput sequencing
GPL10912,spotted DNA/cDNA
GPL10913,spotted DNA/cDNA
GPL10914,spotted DNA/cDNA
GPL13399,spotted oligonucleotide
GPL13401,spotted peptide or protein
GPL13405,oligonucleotide beads
GPL13407,in situ oligonucleotide
GPL13410,high-throughput sequencing
GPL10353,in situ oligonucleotide
GPL10700,spotted oligonucleotide
GPL11078,in situ oligonucleotide
GPL11670,in situ oligonucleotide
GPL13397,in situ oligonucleotide
GPL11044,in situ oligonucleotide
GPL10388,in situ oligonucleotide
GPL10758,spotted oligonucleotide
GPL13395,spotted oligonucleotide
GPL13398,in situ oligonucleotide
GPL13402,in situ oligonucleotide
GPL10924,in situ oligonucleotide
GPL13396,high-throughput sequencing
GPL10007,in situ oligonucleotide
GPL10554,spotted oligonucleotide
GPL9200,spotted oligonucleotide
GPL13381,in situ oligonucleotide
GPL13383,in situ oligonucleotide
GPL13384,in situ oligonucleotide
GPL13380,in situ oligonucleotide
GPL13393,high-throughput sequencing
GPL13378,spotted DNA/cDNA
GPL13375,in situ oligonucleotide
GPL13376,oligonucleotide beads
GPL11043,spotted oligonucleotide
GPL13370,spotted oligonucleotide
GPL13371,high-throughput sequencing
GPL5671,spotted oligonucleotide
GPL13358,spotted oligonucleotide
GPL13362,in situ oligonucleotide
GPL8688,spotted oligonucleotide
GPL10383,in situ oligonucleotide
GPL10556,in situ oligonucleotide
GPL10929,in situ oligonucleotide
GPL11161,in situ oligonucleotide
GPL11332,spotted DNA/cDNA
GPL11341,in situ oligonucleotide
GPL13244,spotted DNA/cDNA
GPL13355,in situ oligonucleotide
GPL13359,in situ oligonucleotide
GPL13360,in situ oligonucleotide
GPL13361,high-throughput sequencing
GPL10252,in situ oligonucleotide
GPL10285,in situ oligonucleotide
GPL11313,in situ oligonucleotide
GPL11330,in situ oligonucleotide
GPL11333,in situ oligonucleotide
GPL11335,in situ oligonucleotide
GPL11390,in situ oligonucleotide
GPL11391,in situ oligonucleotide
GPL11656,in situ oligonucleotide
GPL11658,in situ oligonucleotide
GPL11659,in situ oligonucleotide
GPL13220,spotted DNA/cDNA
GPL13339,in situ oligonucleotide
GPL13346,in situ oligonucleotide
GPL13350,spotted DNA/cDNA
GPL13354,spotted DNA/cDNA
GPL9426,spotted DNA/cDNA
GPL13351,in situ oligonucleotide
GPL13353,high-throughput sequencing
GPL10270,spotted oligonucleotide
GPL13270,in situ oligonucleotide
GPL13336,in situ oligonucleotide
GPL13341,in situ oligonucleotide
GPL13343,high-throughput sequencing
GPL13344,high-throughput sequencing
GPL13345,spotted oligonucleotide
GPL10836,in situ oligonucleotide
GPL11665,RT-PCR
GPL13337,high-throughput sequencing
GPL13338,high-throughput sequencing
GPL13340,in situ oligonucleotide
GPL13328,RT-PCR
GPL13329,RT-PCR
GPL10840,spotted DNA/cDNA
GPL11290,in situ oligonucleotide
GPL11155,RT-PCR
GPL11162,RT-PCR
GPL11163,RT-PCR
GPL11578,in situ oligonucleotide
GPL13229,spotted oligonucleotide
GPL13318,in situ oligonucleotide
GPL13325,high-throughput sequencing
GPL13275,spotted oligonucleotide
GPL13316,SAGE NlaIII
GPL13113,spotted DNA/cDNA
GPL13114,spotted DNA/cDNA
GPL10536,spotted DNA/cDNA
GPL10660,spotted DNA/cDNA
GPL10661,spotted DNA/cDNA
GPL10662,spotted DNA/cDNA
GPL10663,spotted DNA/cDNA
GPL10664,spotted DNA/cDNA
GPL10665,spotted DNA/cDNA
GPL13302,oligonucleotide beads
GPL13314,oligonucleotide beads
GPL13315,high-throughput sequencing
GPL13296,RT-PCR
GPL13304,high-throughput sequencing
GPL13305,high-throughput sequencing
GPL13306,high-throughput sequencing
GPL13307,high-throughput sequencing
GPL13308,high-throughput sequencing
GPL13309,high-throughput sequencing
GPL13310,high-throughput sequencing
GPL13311,high-throughput sequencing
GPL13312,high-throughput sequencing
GPL13313,high-throughput sequencing
GPL13274,spotted oligonucleotide
GPL13301,in situ oligonucleotide
GPL13300,in situ oligonucleotide
GPL10225,in situ oligonucleotide
GPL10234,in situ oligonucleotide
GPL13285,spotted oligonucleotide
GPL13290,spotted oligonucleotide
GPL13297,high-throughput sequencing
GPL13292,spotted oligonucleotide
GPL11265,in situ oligonucleotide
GPL13278,in situ oligonucleotide
GPL13280,spotted oligonucleotide
GPL13281,in situ oligonucleotide
GPL13283,in situ oligonucleotide
GPL13284,in situ oligonucleotide
GPL13288,in situ oligonucleotide
GPL13291,high-throughput sequencing
GPL13293,high-throughput sequencing
GPL10177,in situ oligonucleotide
GPL13279,in situ oligonucleotide
GPL13264,in situ oligonucleotide
GPL13271,mixed spotted oligonucleotide/cDNA
GPL13250,spotted DNA/cDNA
GPL13251,spotted DNA/cDNA
GPL13261,spotted DNA/cDNA
GPL13262,in situ oligonucleotide
GPL13265,in situ oligonucleotide
GPL13266,in situ oligonucleotide
GPL13268,in situ oligonucleotide
GPL13272,high-throughput sequencing
GPL10695,spotted peptide or protein
GPL10696,spotted peptide or protein
GPL10697,spotted DNA/cDNA
GPL10698,spotted DNA/cDNA
GPL10796,spotted oligonucleotide
GPL13252,in situ oligonucleotide
GPL13260,spotted oligonucleotide
GPL13267,high-throughput sequencing
GPL10160,in situ oligonucleotide
GPL10161,in situ oligonucleotide
GPL11012,spotted oligonucleotide
GPL13227,spotted DNA/cDNA
GPL13256,high-throughput sequencing
GPL10635,in situ oligonucleotide
GPL13231,in situ oligonucleotide
GPL13237,in situ oligonucleotide
GPL13238,in situ oligonucleotide
GPL13168,in situ oligonucleotide
GPL13185,in situ oligonucleotide
GPL13242,spotted oligonucleotide
GPL10173,spotted oligonucleotide
GPL13208,spotted oligonucleotide
GPL13236,RT-PCR
GPL13245,high-throughput sequencing
GPL8068,spotted oligonucleotide
GPL8070,spotted oligonucleotide
GPL8217,in situ oligonucleotide
GPL10926,in situ oligonucleotide
GPL11024,spotted DNA/cDNA
GPL11037,spotted oligonucleotide
GPL11283,spotted oligonucleotide
GPL11657,in situ oligonucleotide
GPL13118,in situ oligonucleotide
GPL13163,in situ oligonucleotide
GPL13217,in situ oligonucleotide
GPL13218,spotted DNA/cDNA
GPL13219,spotted DNA/cDNA
GPL13240,high-throughput sequencing
GPL10428,spotted oligonucleotide
GPL10579,spotted DNA/cDNA
GPL11639,spotted oligonucleotide
GPL13232,in situ oligonucleotide
GPL13235,high-throughput sequencing
GPL13141,in situ oligonucleotide
GPL13142,in situ oligonucleotide
GPL13143,spotted DNA/cDNA
GPL13144,spotted DNA/cDNA
GPL13145,spotted DNA/cDNA
GPL10298,in situ oligonucleotide
GPL11190,spotted oligonucleotide
GPL14152,in situ oligonucleotide
GPL13225,spotted DNA/cDNA
GPL11577,in situ oligonucleotide
GPL13222,high-throughput sequencing
GPL13162,spotted oligonucleotide
GPL13210,in situ oligonucleotide
GPL13211,spotted DNA/cDNA
GPL10480,in situ oligonucleotide
GPL13213,in situ oligonucleotide
GPL13191,spotted oligonucleotide
GPL13178,spotted oligonucleotide
GPL13183,spotted oligonucleotide
GPL13186,in situ oligonucleotide
GPL13189,spotted oligonucleotide
GPL13190,in situ oligonucleotide
GPL13194,in situ oligonucleotide
GPL13195,in situ oligonucleotide
GPL13196,in situ oligonucleotide
GPL13197,in situ oligonucleotide
GPL13198,in situ oligonucleotide
GPL13199,in situ oligonucleotide
GPL13200,in situ oligonucleotide
GPL13201,in situ oligonucleotide
GPL13202,in situ oligonucleotide
GPL13203,in situ oligonucleotide
GPL13204,in situ oligonucleotide
GPL13205,in situ oligonucleotide
GPL13206,in situ oligonucleotide
GPL13207,in situ oligonucleotide
GPL10122,in situ oligonucleotide
GPL13164,spotted oligonucleotide
GPL13176,spotted DNA/cDNA
GPL13177,spotted DNA/cDNA
GPL13184,high-throughput sequencing
GPL10860,spotted oligonucleotide
GPL10063,in situ oligonucleotide
GPL13173,high-throughput sequencing
GPL13174,high-throughput sequencing
GPL10089,in situ oligonucleotide
GPL13128,spotted oligonucleotide
GPL13133,in situ oligonucleotide
GPL13151,spotted DNA/cDNA
GPL13152,spotted DNA/cDNA
GPL13153,spotted DNA/cDNA
GPL13154,spotted DNA/cDNA
GPL10295,oligonucleotide beads
GPL10708,RT-PCR
GPL10709,RT-PCR
GPL12620,in situ oligonucleotide
GPL13155,in situ oligonucleotide
GPL13156,high-throughput sequencing
GPL13157,in situ oligonucleotide
GPL13158,in situ oligonucleotide
GPL13160,high-throughput sequencing
GPL13123,in situ oligonucleotide
GPL11054,in situ oligonucleotide
GPL13140,spotted oligonucleotide
GPL13146,spotted DNA/cDNA
GPL10734,in situ oligonucleotide
GPL13139,in situ oligonucleotide
GPL13147,in situ oligonucleotide
GPL13148,high-throughput sequencing
GPL10053,in situ oligonucleotide
GPL10745,spotted oligonucleotide
GPL13135,oligonucleotide beads
GPL10816,in situ oligonucleotide
GPL10835,in situ oligonucleotide
GPL10282,spotted DNA/cDNA
GPL11662,spotted DNA/cDNA
GPL13125,high-throughput sequencing
GPL13116,spotted oligonucleotide
GPL12621,in situ oligonucleotide
GPL13112,high-throughput sequencing
GPL10001,spotted oligonucleotide
GPL10742,in situ oligonucleotide
GPL11001,spotted oligonucleotide
GPL11025,spotted DNA/cDNA
GPL11026,spotted DNA/cDNA
GPL11027,spotted DNA/cDNA
GPL11046,spotted oligonucleotide
GPL11147,in situ oligonucleotide
GPL11148,in situ oligonucleotide
GPL11149,in situ oligonucleotide
GPL11150,in situ oligonucleotide
GPL11181,spotted oligonucleotide
GPL11200,in situ oligonucleotide
GPL11201,in situ oligonucleotide
GPL11278,in situ oligonucleotide
GPL11289,in situ oligonucleotide
GPL11324,spotted oligonucleotide
GPL11386,in situ oligonucleotide
GPL11387,in situ oligonucleotide
GPL11061,spotted DNA/cDNA
GPL11675,high-throughput sequencing
GPL11624,spotted DNA/cDNA
GPL11671,high-throughput sequencing
GPL11672,high-throughput sequencing
GPL10988,spotted oligonucleotide
GPL11319,in situ oligonucleotide
GPL11320,in situ oligonucleotide
GPL11663,high-throughput sequencing
GPL11666,high-throughput sequencing
GPL11158,in situ oligonucleotide
GPL11184,spotted DNA/cDNA
GPL11630,spotted oligonucleotide
GPL11650,high-throughput sequencing
GPL10077,spotted oligonucleotide
GPL11579,spotted oligonucleotide
GPL11645,high-throughput sequencing
GPL11646,spotted DNA/cDNA
GPL11648,in situ oligonucleotide
GPL11649,in situ oligonucleotide
GPL9668,spotted oligonucleotide
GPL11641,in situ oligonucleotide
GPL9959,in situ oligonucleotide
GPL10016,spotted DNA/cDNA
GPL11527,in situ oligonucleotide
GPL11620,in situ oligonucleotide
GPL11629,spotted DNA/cDNA
GPL11640,high-throughput sequencing
GPL11643,high-throughput sequencing
GPL11329,spotted oligonucleotide
GPL11528,in situ oligonucleotide
GPL11626,high-throughput sequencing
GPL11627,high-throughput sequencing
GPL11631,high-throughput sequencing
GPL11581,in situ oligonucleotide
GPL11488,in situ oligonucleotide
GPL11529,high-throughput sequencing
GPL11531,in situ oligonucleotide
GPL11532,in situ oligonucleotide
GPL11533,in situ oligonucleotide
GPL11534,in situ oligonucleotide
GPL11535,high-throughput sequencing
GPL10932,in situ oligonucleotide
GPL10933,spotted oligonucleotide
GPL11408,spotted DNA/cDNA
GPL10976,in situ oligonucleotide
GPL9943,spotted DNA/cDNA
GPL9941,spotted oligonucleotide
GPL9955,spotted oligonucleotide
GPL11484,spotted DNA/cDNA
GPL9954,spotted oligonucleotide
GPL11292,spotted oligonucleotide
GPL11415,spotted oligonucleotide
GPL11487,in situ oligonucleotide
GPL11010,spotted oligonucleotide
GPL11382,in situ oligonucleotide
GPL11399,spotted oligonucleotide
GPL11400,spotted oligonucleotide
GPL11401,spotted oligonucleotide
GPL11402,spotted oligonucleotide
GPL11403,spotted oligonucleotide
GPL11404,spotted oligonucleotide
GPL11405,spotted oligonucleotide
GPL11406,spotted oligonucleotide
GPL11407,in situ oligonucleotide
GPL11411,spotted oligonucleotide
GPL11418,spotted oligonucleotide
GPL11420,in situ oligonucleotide
GPL11421,spotted oligonucleotide
GPL11422,spotted oligonucleotide
GPL11423,spotted oligonucleotide
GPL11424,spotted oligonucleotide
GPL11425,spotted oligonucleotide
GPL11426,spotted oligonucleotide
GPL11427,spotted oligonucleotide
GPL11428,spotted oligonucleotide
GPL11432,spotted oligonucleotide
GPL11434,spotted oligonucleotide
GPL11435,spotted oligonucleotide
GPL11438,spotted oligonucleotide
GPL11439,spotted oligonucleotide
GPL11442,spotted oligonucleotide
GPL11433,in situ oligonucleotide
GPL9901,spotted DNA/cDNA
GPL9939,spotted oligonucleotide
GPL11412,in situ oligonucleotide
GPL11413,in situ oligonucleotide
GPL11429,high-throughput sequencing
GPL11156,in situ oligonucleotide
GPL11237,spotted DNA/cDNA
GPL11409,high-throughput sequencing
GPL11410,in situ oligonucleotide
GPL11414,SAGE NlaIII
GPL11372,in situ oligonucleotide
GPL11396,in situ oligonucleotide
GPL10392,in situ oligonucleotide
GPL11244,in situ oligonucleotide
GPL11397,in situ oligonucleotide
GPL9858,in situ oligonucleotide
GPL11384,RT-PCR
GPL11392,in situ oligonucleotide
GPL10539,in situ oligonucleotide
GPL10541,in situ oligonucleotide
GPL11371,in situ oligonucleotide
GPL11378,in situ oligonucleotide
GPL11379,oligonucleotide beads
GPL11381,spotted DNA/cDNA
GPL11385,high-throughput sequencing
GPL11389,high-throughput sequencing
GPL10727,spotted DNA/cDNA
GPL11364,in situ oligonucleotide
GPL11375,spotted oligonucleotide
GPL11380,spotted oligonucleotide
GPL10908,in situ oligonucleotide
GPL11274,spotted DNA/cDNA
GPL11275,spotted DNA/cDNA
GPL11377,high-throughput sequencing
GPL8671,in situ oligonucleotide
GPL9984,in situ oligonucleotide
GPL10003,in situ oligonucleotide
GPL10114,in situ oligonucleotide
GPL10186,in situ oligonucleotide
GPL10233,spotted DNA/cDNA
GPL10537,in situ oligonucleotide
GPL10564,spotted DNA/cDNA
GPL10580,in situ oligonucleotide
GPL10641,spotted oligonucleotide
GPL10642,in situ oligonucleotide
GPL10771,spotted DNA/cDNA
GPL10870,spotted oligonucleotide
GPL11049,in situ oligonucleotide
GPL11191,spotted oligonucleotide
GPL9477,spotted oligonucleotide
GPL10004,in situ oligonucleotide
GPL10018,in situ oligonucleotide
GPL10093,spotted DNA/cDNA
GPL10112,in situ oligonucleotide
GPL10184,in situ oligonucleotide
GPL10231,spotted oligonucleotide
GPL10337,antibody
GPL10340,in situ oligonucleotide
GPL10362,in situ oligonucleotide
GPL10458,in situ oligonucleotide
GPL10464,spotted DNA/cDNA
GPL10559,in situ oligonucleotide
GPL10666,in situ oligonucleotide
GPL10684,spotted oligonucleotide
GPL10726,in situ oligonucleotide
GPL10764,spotted oligonucleotide
GPL10807,in situ oligonucleotide
GPL10887,spotted oligonucleotide
GPL10927,in situ oligonucleotide
GPL11039,spotted oligonucleotide
GPL11047,in situ oligonucleotide
GPL11075,in situ oligonucleotide
GPL11090,in situ oligonucleotide
GPL11091,in situ oligonucleotide
GPL11092,in situ oligonucleotide
GPL11100,in situ oligonucleotide
GPL11101,in situ oligonucleotide
GPL11103,in situ oligonucleotide
GPL11104,in situ oligonucleotide
GPL11105,in situ oligonucleotide
GPL11106,in situ oligonucleotide
GPL11144,in situ oligonucleotide
GPL10674,in situ oligonucleotide
GPL10992,in situ oligonucleotide
GPL11118,spotted DNA/cDNA
GPL11124,in situ oligonucleotide
GPL11368,in situ oligonucleotide
GPL11369,high-throughput sequencing
GPL11356,spotted oligonucleotide
GPL11366,spotted oligonucleotide
GPL9122,spotted oligonucleotide
GPL9123,spotted oligonucleotide
GPL11225,RT-PCR
GPL11360,spotted DNA/cDNA
GPL11363,in situ oligonucleotide
GPL11365,in situ oligonucleotide
GPL11357,in situ oligonucleotide
GPL11358,in situ oligonucleotide
GPL11322,in situ oligonucleotide
GPL11355,spotted DNA/cDNA
GPL10677,spotted oligonucleotide
GPL11214,in situ oligonucleotide
GPL11310,spotted oligonucleotide
GPL11351,in situ oligonucleotide
GPL11337,in situ oligonucleotide
GPL11342,spotted oligonucleotide
GPL11345,high-throughput sequencing
GPL11346,in situ oligonucleotide
GPL11347,high-throughput sequencing
GPL11348,high-throughput sequencing
GPL11349,high-throughput sequencing
GPL10778,in situ oligonucleotide
GPL10305,RT-PCR
GPL10557,in situ oligonucleotide
GPL10879,spotted DNA/cDNA
GPL11247,spotted DNA/cDNA
GPL11277,spotted oligonucleotide
GPL9800,spotted oligonucleotide
GPL11198,in situ oligonucleotide
GPL11296,in situ oligonucleotide
GPL11312,in situ oligonucleotide
GPL7872,in situ oligonucleotide
GPL7873,in situ oligonucleotide
GPL11311,high-throughput sequencing
GPL10986,in situ oligonucleotide
GPL11299,in situ oligonucleotide
GPL11303,high-throughput sequencing
GPL11305,in situ oligonucleotide
GPL11291,in situ oligonucleotide
GPL11293,spotted DNA/cDNA
GPL11295,spotted oligonucleotide
GPL11301,in situ oligonucleotide
GPL11284,spotted DNA/cDNA
GPL11285,spotted DNA/cDNA
GPL11286,spotted DNA/cDNA
GPL11287,spotted DNA/cDNA
GPL9760,spotted oligonucleotide
GPL11111,RT-PCR
GPL11250,spotted oligonucleotide
GPL11279,spotted DNA/cDNA
GPL11288,in situ oligonucleotide
GPL9794,in situ oligonucleotide
GPL10418,spotted DNA/cDNA
GPL11280,in situ oligonucleotide
GPL11282,high-throughput sequencing
GPL9999,in situ oligonucleotide
GPL11243,in situ oligonucleotide
GPL11269,in situ oligonucleotide
GPL10673,spotted oligonucleotide
GPL9740,spotted oligonucleotide
GPL11253,spotted DNA/cDNA
GPL11257,in situ oligonucleotide
GPL11260,in situ oligonucleotide
GPL11261,in situ oligonucleotide
GPL11270,high-throughput sequencing
GPL9517,spotted oligonucleotide
GPL9886,in situ oligonucleotide
GPL10085,spotted DNA/cDNA
GPL10113,spotted oligonucleotide
GPL10176,in situ oligonucleotide
GPL10178,spotted DNA/cDNA
GPL10179,spotted DNA/cDNA
GPL10469,spotted oligonucleotide
GPL10521,spotted oligonucleotide
GPL10754,spotted DNA/cDNA
GPL10760,spotted oligonucleotide
GPL10901,in situ oligonucleotide
GPL11038,RT-PCR
GPL11119,spotted DNA/cDNA
GPL11182,spotted oligonucleotide
GPL11258,in situ oligonucleotide
GPL11259,in situ oligonucleotide
GPL11262,high-throughput sequencing
GPL10389,spotted oligonucleotide
GPL10390,spotted oligonucleotide
GPL10787,in situ oligonucleotide
GPL11152,spotted oligonucleotide
GPL11208,spotted DNA/cDNA
GPL11236,spotted oligonucleotide
GPL11251,spotted oligonucleotide
GPL8614,in situ oligonucleotide
GPL11205,spotted DNA/cDNA
GPL11248,spotted oligonucleotide
GPL11249,spotted oligonucleotide
GPL8610,in situ oligonucleotide
GPL9821,in situ oligonucleotide
GPL11018,in situ oligonucleotide
GPL11217,in situ oligonucleotide
GPL11222,antibody
GPL11239,RT-PCR
GPL9819,spotted oligonucleotide
GPL9820,spotted oligonucleotide
GPL10375,in situ oligonucleotide
GPL11169,in situ oligonucleotide
GPL11206,in situ oligonucleotide
GPL11234,spotted DNA/cDNA
GPL11242,in situ oligonucleotide
GPL11245,high-throughput sequencing
GPL9465,spotted DNA/cDNA
GPL11233,in situ oligonucleotide
GPL9720,spotted DNA/cDNA
GPL9759,in situ oligonucleotide
GPL11141,spotted oligonucleotide
GPL11231,RT-PCR
GPL11232,spotted oligonucleotide
GPL11218,in situ oligonucleotide
GPL11229,SAGE NlaIII
GPL11213,spotted oligonucleotide
GPL11219,in situ oligonucleotide
GPL11221,high-throughput sequencing
GPL10723,spotted DNA/cDNA
GPL10909,spotted oligonucleotide
GPL11006,in situ oligonucleotide
GPL11210,spotted oligonucleotide
GPL11211,spotted oligonucleotide
GPL11215,high-throughput sequencing
GPL11216,high-throughput sequencing
GPL10583,spotted oligonucleotide
GPL10773,in situ oligonucleotide
GPL10815,in situ oligonucleotide
GPL10903,in situ oligonucleotide
GPL11085,in situ oligonucleotide
GPL11175,spotted DNA/cDNA
GPL11176,spotted DNA/cDNA
GPL11177,spotted DNA/cDNA
GPL11178,spotted DNA/cDNA
GPL11179,spotted DNA/cDNA
GPL11209,in situ oligonucleotide
GPL11212,high-throughput sequencing
GPL11060,in situ oligonucleotide
GPL11185,spotted oligonucleotide
GPL11202,in situ oligonucleotide
GPL11203,high-throughput sequencing
GPL11195,oligonucleotide beads
GPL10894,in situ oligonucleotide
GPL11114,in situ oligonucleotide
GPL11170,in situ oligonucleotide
GPL11192,high-throughput sequencing
GPL10990,in situ oligonucleotide
GPL11171,in situ oligonucleotide
GPL11180,in situ oligonucleotide
GPL11165,spotted DNA/cDNA
GPL8837,in situ oligonucleotide
