ExomiRHub ID	GEO ID	Disease	Disease Type	Drug	Life Style	Sample Name	Sample Type	Sample Number	Sample Source	Isolation Method	Extraction Method	Infection	Genotype	Body Site	Age	Gender	Status	Stage	Grade	Metastatisis	Citation	Platform Id	Platform Name
EMIR00000125	GSE140106	Multiple sclerosis disease	Nervous system disease	Fingolimod	N/A	Serum exosome of multiple sclerosis disease activity after fingolimod treatment	Serum derived exosomes	54	Serum	Size exclusion chromatography	Plasma/Serum Circulating & Exosomal RNA Purification Mini Kit	N/A	N/A	Brain	N/A	N/A	Public on Nov 08, 2019	N/A	N/A	N/A	31721043	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000126	GSE136321	Prostate cancer	Cancer	Castration-resistant 	N/A	Plasma exosome between 24 treatment-naÃ¯ve prostate cancer patients and 24 castration-resistant prostate cancer patients	Plasma derived exosomes	48	Plasma	Total Exosome Isolation Kit	QIAzol lysis reagent and miRNeasy Micro Kit	N/A	N/A	Prostate	N/A	N/A	Public on Jan 07, 2021	N/A	N/A	N/A	33490068	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000127	GSE114711	Non-small cell lung cancer	Cancer	N/A	N/A	Plasma-derived exosome	Plasma derived exosomes	26	Plasma	Izon qEV size exclusion Kit	miRNeasy Kit	N/A	N/A	Lung	N/A	Male and Female	Public on Jun 29, 2018	Yes	Yes	N/A	29976955	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000128	GSE110435	Late-onset acute graft-versus-host disease	Immune inflammatory disease	Allogeneic Hematopoietic Stem Cell Transplantation	N/A	Plasma exosome were collected from patients with LA GVHD (n = 5), non-GVHD (n = 5) and controls (n = 8)	Plasma derived exosomes	18	Plasma	Total Exosome Isolation Kit	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Jul 08, 2018	N/A	N/A	N/A	30142940	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000129	GSE109879	Breast cancer	Cancer	Cocultivated with mature 3T3-L1	N/A	Exosome from MDA-MB-231 cultivated with mature 3T3-L1	Cell derived exosomes	1	"MDA-MB-231 cell; 3T3-L1 cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Breast	N/A	N/A	Public on Jan 31, 2018	N/A	N/A	N/A	31138258, 30474469	GPL15520	Illumina MiSeq (Homo sapiens)
EMIR00000130	GSE58027	Breast cancer	Cancer	N/A	N/A	Bone-marrow mesenchymal cell (BM-MSC)-derived exosome	Cell derived exosomes	8	Human bone marrow mesenchymal cell	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Breast	N/A	Male and Female	Public on Jul 03, 2014	N/A	N/A	Yes	24985346	GPL15446	3D-Gene Human miRNA V17_1.0.0
EMIR00000132	GSE85903	"Chronic myeloid leukemia; Musculoskeletal pain"	"Cancer; Nervous system disease"	Imatinib	N/A	Plasma exosome of CML patients with musculoskeletal pain associated with discontinuation of Imatinib	Plasma derived exosomes	13	Plasma	Total Exosome Isolation Kit	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Dec 15, 2016	N/A	N/A	N/A	28197964	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000133	GSE80274	Healthy individuals	Other	Different RNA extraction procedures	N/A	Serum exosome	Serum circulating miRNA	37	Serum	NA	Trizol reagent and miRNeasy Mini Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 01, 2016	N/A	N/A	N/A	27510798	GPL15456	Illumina HiScanSQ (Homo sapiens)
EMIR00000134	GSE78865	Myeloma	Cancer	N/A	N/A	Exosome secreted from human bone marrow stromal cells	Cell derived exosomes	6	Human bone marrow stromal cell	Total Exosome Isolation Kit	miRNeasy Mini Kit	N/A	N/A	Blood system	Yes	N/A	Public on May 12, 2017	N/A	N/A	N/A	29296725, 31698453	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000135	GSE70432	Breast cancer	Cancer	Docosahexaenoic acid	N/A	Exosome of MCF7 cells after docosahexaenoic acid treatment	Cell derived exosomes	4	MCF7 cell	ExoQuick-TC Kit	Trizol reagent	N/A	N/A	Breast	N/A	N/A	Public on Jul 01, 2015	N/A	N/A	N/A	26178901	GPL15520	Illumina MiSeq (Homo sapiens)
EMIR00000136	GSE75389	Chronic myeloid leukemia	Cancer	N/A	N/A	Plasma exosome of CML patients after imatinib discontinuation (STOP-IM)	Plasma derived exosomes	6	Plasma	Total Exosome Isolation Kit	mirVana PARIS Kit	N/A	N/A	Blood system	N/A	N/A	Public on Mar 31, 2016	N/A	N/A	N/A	27092489	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000137	GSE45722	Healthy individuals	Other	N/A	N/A	Plasma exosome from three anonymous blood donors and split each sample into two for technical replication	Plasma derived exosomes	14	Plasma	ExoQuick-TM Kit	miRNeasy Micro Kit	N/A	N/A	Other	N/A	N/A	Public on May 15, 2013	N/A	N/A	N/A	23663360	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000138	GSE45388	Multiple myeloma	Cancer	Hypoxia	N/A	Exosome in hypoxic RPMI8226 cells	Cell derived exosomes	4	RPMI-8226 cell	ExoQuick-TM Kit	QIAzol lysis reagent and miRNeasy Kit 	N/A	N/A	Blood system	N/A	N/A	Public on Dec 03, 2013	N/A	N/A	N/A	24133215	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000139	GSE45387	B cell lymphoma	Cancer	Hypoxia	N/A	Exosome in hypoxic SUDHL4 cells	Cell derived exosomes	4	SUDHL4 cell	ExoQuick-TM Kit	QIAzol lysis reagent and miRNeasy Kit 	N/A	N/A	Lymph	N/A	N/A	Public on Dec 03, 2013	N/A	N/A	N/A	24133215	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000140	GSE45289	Chronic myeloid leukemia	Cancer	Hypoxia	N/A	Exosome in hypoxic K562 cells	Cell derived exosomes	4	K562 cell	ExoQuick-TM Kit	QIAzol lysis reagent and miRNeasy Kit 	N/A	N/A	Blood system	N/A	N/A	Public on Dec 03, 2013	N/A	N/A	N/A	24133215	GPL8979	Applied Biosystems Human Taqman MicroRNA Array v2.0
EMIR00000141	GSE25110	Familial hypercholesterolemia	Endocrine metabolic disease	N/A	N/A	Plasma exosome and high-density lipoprotein in matched subjects	Plasma derived exosomes	6	Plasma	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Mar 24, 2011	N/A	N/A	N/A	21423178	GPL11155	NIH Taqman Human MicroRNA Array
EMIR00000142	GSE83669	Breast cancer	Cancer	N/A	N/A	Exosome derived from cells of MCF10A, MCF7 and MDA-MB-231	Cell derived exosomes	6	"MCF-10A cell; MCF7 cell; MDA-MB-231 cell"	ExoQuick-TC Kit	Trizol reagent	N/A	N/A	Breast	N/A	N/A	Public on Sep 12, 2016	N/A	N/A	N/A	27608715	GPL15520	Illumina MiSeq (Homo sapiens)
EMIR00000143	GSE55025	Acute myeloid leukemia	Cancer	Hypoxia	N/A	Exosome derived from Molm-14 cells	Cell derived exosomes	12	MOLM-14 cell	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Feb 20, 2014	N/A	N/A	N/A	26067326	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000144	GSE85677	"Hepatocellular carcinoma; Chronic hepatitis C"	"Cancer; Infection disease"	IFN	N/A	Serum exosome in patients with hepatocellular carcinoma or chronic hepatitis C before or after IFN treatment	Serum derived exosomes	125	Serum	NA	Toray 3D-Gene RNA extraction reagent	Hepatitis C virus	N/A	Liver	N/A	N/A	Public on Dec 31, 2016	N/A	N/A	N/A	33303811	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000145	GSE85679	Hepatocellular carcinoma	Cancer	Operation	N/A	Serum exosome-derived patients with hepatocellular carcinoma	Serum derived exosomes	281	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Liver	N/A	N/A	Public on Dec 31, 2016	N/A	N/A	N/A	33303811	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000146	GSE133276	Myelodysplastic syndrome	Cancer	N/A	N/A	Exosome of human bone marrow stromal cells	Cell derived exosomes	31	Human bone marrow stromal cell	Total Exosome Isolation Kit	miRNeasy Mini Kit	N/A	N/A	Blood system	Yes	N/A	Public on Jun 26, 2019	N/A	N/A	N/A	Link to PubMed	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000150	GSE110271	Multiple myeloma	Cancer	N/A	N/A	Exosome of human bone marrow stromal cells derived from multiple myeloma patients	Cell derived exosomes	11	Human bone marrow stromal cell	ExoQuick-TC Kit	miRNeasy Mini Kit	N/A	N/A	Blood system	Yes	N/A	Public on Jun 08, 2018	N/A	N/A	N/A	31698453	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000151	GSE110238	"Multiple myeloma; Monoclonal gammopathy of undetermined significance"	"Cancer; Immune inflammatory disease"	N/A	N/A	Exosome of human bone marrow stromal cells derived from multiple myeloma patients	Cell derived exosomes	11	Human bone marrow stromal cell	ExoQuick-TC Kit	miRNeasy Mini Kit	N/A	N/A	Blood system	Yes	N/A	Public on Jun 08, 2018	N/A	N/A	N/A	31698453	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000152	GSE97123	Type 1 Diabetes	Endocrine metabolic disease	N/A	N/A	Plasma exosome of patients with Type 1 Diabetes	Plasma derived exosomes	24	Plasma	Step-wise centrifugation-ultracentrifugation	mirVana miRNA Isolation Kit	N/A	N/A	Pancreas	Yes	Male and Female	Public on Sep 06, 2017	N/A	N/A	N/A	28729721	GPL17537	nCounter Human miRNA Expression Assay, V2
EMIR00000153	GSE88754	Immune related disease	Immune inflammatory disease	N/A	N/A	Extracellular vesicles released by human mast cell line HMC-1 cells	Cell derived extracellular vesicles	9	Mast cell	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	miRCURY RNA Isolation Kit Cell and Plant	N/A	N/A	Blood system	N/A	N/A	Public on Oct 31, 2016	N/A	N/A	N/A	27791479	GPL17061	3D-Gene Human miRNA V19_1.0.0
EMIR00000154	GSE75392	Chronic myeloid leukemia	Cancer	N/A	N/A	Plasma exosome of CML patients after imatinib discontinuation (STOP-IM)	Plasma derived exosomes	20	Plasma	Total Exosome Isolation Kit	mirVana PARIS Kit	N/A	N/A	Blood system	N/A	N/A	Public on Mar 31, 2016	N/A	N/A	N/A	27092489	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000155	GSE93746	Subarachnoid hemorrhage	Other	N/A	N/A	Exosome in CSF and blood of SAH patients	"Cerebrospinal fluid derived exosomes; Plasma derived exosomes"	6	"Cerebrospinal fluid; Plasma"	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Brain	N/A	N/A	Public on Feb 01, 2018	N/A	N/A	N/A	28893694	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000156	GSE74829	Hepatoma	Cancer	Camptothecin	N/A	Camptothecin-treated or untreated Hep3B-derived exosome	Cell derived exosomes	4	Hep3B cell	Total Exosome Isolation Kit	Geneaid miRNA Isolation Kit	N/A	N/A	Liver	N/A	N/A	Public on Nov 10, 2015	N/A	N/A	N/A	Link to PubMed	GPL18310	Phalanx Human miRNA OneArray Ver 5 (miRBase Release 19)
EMIR00000157	GSE48983	Multiple myeloma	Cancer	Hypoxia	N/A	Exosome in hypoxia-resistant cells, including KMS-11, KMS-11-HR, RPMI8226, RPMI8226HR, U266, U266HR cell lines	Cell derived exosomes	18	"KMS-11 cell; KMS-11-HR cell; RPMI-8226 cell; RPMI-8226HR cell; U266 cell; U266HR cell"	ExoQuick-TM Kit	QIAzol lysis reagent and miRNeasy kit	N/A	N/A	Blood system	N/A	N/A	Public on Oct 15, 2014	N/A	N/A	N/A	25320245	GPL13987	Taqman Array Human MicroRNA A Card v2.0
EMIR00000158	GSE95512	Human suspended red blood cells with leukocyte reduced	Other	N/A	N/A	Exosome derived from human suspended red blood cell unit with leukocyte reduced	Cell derived exosomes	3	Human suspended red blood cell	ExoQuick-TM Kit	Trizol reagent and miRNeasy Mini Kit	N/A	N/A	Blood system	N/A	Male and Female	Public on Mar 03, 2017	N/A	N/A	N/A	Link to PubMed	GPL18058	Exiqon miRCURY LNA microRNA array, 7th generation [miRBase v18, condensed Probe_ID version]
EMIR00000098	GSE134220	Head and neck cancer	Cancer	N/A	N/A	HNSCC cells derived exosome	Cell derived exosomes	18	HNSCC cell	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	p53R273H, p53 wildtype, p53G245D, p53C238F	"Brain; Oral"	N/A	N/A	Public on Feb 13, 2020	N/A	N/A	N/A	32051587	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000107	GSE106303	Non-small cell lung cancer	Cancer	N/A	N/A	"Exosome in 2 sets of human non-small cell lung cancer cell lines (EKVX cell line); The first set is scramble (wild-type; EKVX.Scrb) cells and syndecan-1 knock-down (EKVX.1735) cells"	Cell derived exosomes	6	EKVX cell	ExoQuick-TC Kit	miRNeasy Micro Kit	N/A	Syndecan-1 knockdown	Lung	N/A	N/A	Public on Oct 30, 2017	N/A	N/A	N/A	29355516	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000108	GSE106277	Non-small cell lung cancer	Cancer	N/A	N/A	"Exosome in 2 sets of human non-small cell lung cancer cell lines (A549 cell line); The first set is scramble (wild-type; A549.Scrb) cells and syndecan-1 knock-down (A549.1735) cells"	Cell derived exosomes	8	A549 cell	ExoQuick-TC Kit	miRNeasy Micro Kit	N/A	Syndecan-1 knockdown	Lung	N/A	N/A	Public on Oct 28, 2017	N/A	N/A	N/A	29355516	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000109	GSE54434	Chronic lymphocytic leukemia	Cancer	N/A	N/A	Exosomes purified from stimulated leukaemic cells	Cell derived exosomes	16	Leukaemic cell	Step-wise centrifugation-ultracentrifugation	mirVana miRNA Isolation Kit	N/A	VH mutant	Blood system	N/A	Male and Female	Public on Jul 25, 2014	N/A	N/A	N/A	22024720, 27118451	GPL11050	Applied Biosystems Human MicroRNA Array (A) plates
EMIR00000159	GSE122497	Esophageal squamous cell carcinoma	Cancer	N/A	N/A	Serum of esophageal squamous cell carcinoma and non-cancer controls	Serum circulating miRNA	5531	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Esophagus	Yes	Male and Female	Public on Aug 21, 2019	Yes	N/A	N/A	31125107	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000160	GSE73002	Breast cancer	Cancer	N/A	N/A	cancer serums,benign breast diseases serums,non-cancer control serums, non-breast benign diseases serums	Serum circulating miRNA	4113	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Breast	N/A	N/A	Public on Jan 21, 2016	N/A	N/A	N/A	26749252	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000161	GSE106817	Ovarian cancer	Cancer	N/A	N/A	Serum of ovarian cancers, borderline ovarian tumors, benign ovarian diseases, non-cancer controls, the other solid cancers.	Serum circulating miRNA	4046	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Cervix,Ovary and Uterus	Yes	N/A	Public on Oct 23, 2018	Yes	N/A	N/A	30333487	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000162	GSE137140	Lung carcinoma	Cancer	N/A	N/A	Serum of preoperative lung cancer,postoperative lung cancer and non-cancer controls	Serum circulating miRNA	3924	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Lung	Yes	Male and Female	Public on Mar 30, 2020	N/A	N/A	N/A	32193503	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000163	GSE112264	Prostate cancer	Cancer	N/A	N/A	Serum of prostate cancers, negative prostate cancer patients, non-cancer controls, the other solid cancers.	Serum circulating miRNA	1591	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Prostate	Yes	Male	Public on Mar 01, 2019	Yes	N/A	N/A	30808771	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000164	GSE124158	Bone and soft tissue sarcoma	Cancer	N/A	N/A	Serum of bone and soft tissue tumors,healthy controls and other cancer	Serum circulating miRNA	1412	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Bone and soft tissue	Yes	Male and Female	Public on Feb 14, 2019	Yes	N/A	N/A	30898996	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000165	GSE113486	Bladder cancer	Cancer	N/A	N/A	Serum of bladder cancer,non-cancer control, and other types of cancer	Serum circulating miRNA	972	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Bladder	Yes	Male and Female	Public on Nov 06, 2018	Yes	Yes	N/A	30382619	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000166	GSE139031	Diffuse glioma	Cancer	N/A	N/A	Serum of brain tumors	Serum circulating miRNA	580	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Brain	Yes	Male and Female	Public on Oct 19, 2019	N/A	N/A	N/A	31808923	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000167	GSE59856	"Pancreatic cancer; biliary tract cancer"	Cancer	N/A	N/A	Serum of pancreatic and biliary tract cancers	Serum circulating miRNA	571	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	"Pancreas; Biliary tract"	Yes	Male and Female	Public on Mar 01, 2015	Yes	N/A	N/A	25706130	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000168	GSE44281	Breast cancer	Cancer	N/A	N/A	Serum of breast caner	Serum circulating miRNA	419	Serum	NA	Norgen Total RNA Purification Kit	N/A	N/A	Breast	Yes	N/A	Public on May 08, 2013	N/A	N/A	N/A	23705859	GPL14613	[miRNA-2] Affymetrix Multispecies miRNA-2 Array
EMIR00000169	GSE85589	Pancreatic cancer 	Cancer	N/A	N/A	Blood serum  from PC patients, ICC patients, stomach cancer (SC) patients, colorectal cancer (CC) patients, gastrointestinal stromal tumours (GIST) patients, cholelithiasis patients, and healthy 	Serum circulating miRNA	232	Serum	NA	Genolution Serum miRNA purification Kit	N/A	N/A	Pancreas	Yes	Male and Female	Public on Oct 30, 2016	N/A	N/A	N/A	33498271	GPL19117	[miRNA-4] Affymetrix Multispecies miRNA-4 Array
EMIR00000170	GSE68951	Lung carcinoma	Cancer	N/A	N/A	Plasma from patients	Plasma circulating miRNA	215	Plasma	NA	miRNeasy Mini Kit	N/A	N/A	Lung	N/A	N/A	Public on Sep 24, 2015	N/A	N/A	N/A	26078336	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000171	GSE118613	Nasopharyngeal carcinoma	Cancer	N/A	N/A	Blood from patients	Whole blood circulating miRNA	180	Whole blood	NA	Norgen Total RNA Purification Kit	N/A	N/A	Nasopharynx	N/A	N/A	Public on Jun 16, 2019	N/A	N/A	N/A	31159814	GPL19888	State Key Laboratory Human microRNA array 1858
EMIR00000172	GSE40738	Lung carcinoma	Cancer	N/A	N/A	Serum of human lung cancer and non-cancer controls	Serum circulating miRNA	177	Serum	NA	PAXgene Blood miRNA Kit	N/A	N/A	Lung	Yes	N/A	Public on Sep 11, 2012	N/A	N/A	N/A	28742859	GPL16016	Exiqon miRCURY LNA microRNA array
EMIR00000173	GSE110651	Breast cancer	Cancer	N/A	N/A	Serum of breast cancer	Serum circulating miRNA	147	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Breast	Yes	N/A	Public on Feb 16, 2019	N/A	N/A	Yes	Link to PubMed	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000174	GSE112840	Esophageal squamous cell carcinoma	Cancer	N/A	N/A	Serum from preoperative ESCC patients and healthy controls	Serum circulating miRNA	104	Serum	NA	miRNeasy Serum/Plasma Kit	N/A	N/A	Esophagus	Yes	Male and Female	Public on Feb 07, 2019	N/A	N/A	N/A	30719423	GPL23365	Agilent-046064 Human miRNA Microarray, Release 19.0, 8x60K (miRNA_ID version)
EMIR00000175	GSE48137	Wilms tumor	Cancer	Chemotherapy	N/A	Serum of Wilms tumor	Serum circulating miRNA	102	Serum	NA	Trizol-LS reagent and miRNeasy Mini Kit	N/A	N/A	Kidney	N/A	N/A	Public on Dec 31, 2014	N/A	N/A	N/A	Link to PubMed	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000176	GSE55993	Lung carcinoma	Cancer	N/A	N/A	Blood from healthy subjects and lung cancer patients	Whole blood circulating miRNA	80	Whole blood	NA	miRNeasy Micro Kit	N/A	CD3 positive, CD19 positive, CD15 positive, CD14 positive, CD56 positive	Lung	Yes	Male and Female	Public on Dec 31, 2014	N/A	N/A	N/A	25344866	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000177	GSE59993	Breast cancer	Cancer	N/A	N/A	Plasma from patients	Plasma circulating miRNA	78	Plasma	NA	miRNeasy Mini Kit	N/A	N/A	Breast	Yes	N/A	Public on Aug 01, 2014	N/A	N/A	N/A	26581577	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000178	GSE134108	Breast cancer	Cancer	N/A	N/A	Serum of breast cancer	Serum circulating miRNA	79	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Breast	Yes	N/A	Public on Sep 04, 2019	N/A	N/A	Yes	31603918	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000179	GSE119892	Biliary tract cancer 	Cancer	N/A	N/A	Serum of samples 	Serum circulating miRNA	66	Serum	NA	Toray 3D-Gene RNA extraction reagent	N/A	N/A	Biliary tract	Yes	Male and Female	Public on Apr 17, 2019	N/A	N/A	N/A	30976046	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000180	GSE68373	Breast cancer	Cancer	N/A	N/A	Plasma from patients	Plasma circulating miRNA	64	Plasma	NA	miRNeasy Mini Kit	N/A	N/A	Breast	Yes	N/A	Public on Aug 31, 2015	N/A	N/A	Yes	Link to PubMed	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000181	GSE98181	Breast cancer	Cancer	N/A	N/A	Serum of samples 	Serum circulating miRNA	48	Serum	NA	miRNeasy Serum/Plasma Kit	N/A	N/A	Breast	N/A	N/A	Public on Jan 22, 2018	N/A	N/A	N/A	29348816	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000182	GSE113956	Oral squamous cell cancer	Cancer	N/A	"Somking; Drinking"	serum from patients with OSCC and healthy controls	Serum circulating miRNA	40	Serum	NA	Trizol-LS reagent	N/A	N/A	Oral	Yes	Male and Female	Public on May 03, 2018	Yes	Yes	Yes	30867806	GPL18058	Exiqon miRCURY LNA microRNA array, 7th generation [miRBase v18, condensed Probe_ID version]
EMIR00000183	GSE134266	Bone-metastatic prostate cancer	Cancer	N/A	N/A	Extracellular vesicles from serum of patients with bone-metastatic PCa or non-bone -metastatic PCa or benign prostatic hyperplasia	Serum derived extracellular vesicles	38	Serum	Total Exosome Isolation Kit	Norgen RNA Isolation Kit	N/A	N/A	Prostate	Yes	N/A	Public on Jan 31, 2020	N/A	N/A	Yes	33391510	GPL25134	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (miRNA ID version)
EMIR00000184	GSE122488	Glioblastoma	Cancer	Irradiation	N/A	Serum exosomal of IDH-wildtype glioblastoma, IDH-mutant glioma grades II-III, their matched healthy controls, and additional GBM patients, non_GBM patients and healthy controls	Serum derived exosomes	38	Serum	Size exclusion chromatography	Norgen Plasma/Serum Circulating & Exosomal RNA Purification Mini Kit	N/A	IDH-mutant	Brain	N/A	N/A	Public on Nov 14, 2018	N/A	N/A	N/A	30564636, 32668808	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000185	GSE79943	Ovarian cancer	Cancer	N/A	N/A	Serum of ovarian cancer patient	Serum circulating miRNA	34	Serum	NA	Trizol reagent and SV Total RNA Isolation System (Promega)	N/A	N/A	Cervix,Ovary and Uterus	Yes	N/A	Public on Mar 19, 2017	Yes	N/A	N/A	28231414	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000186	GSE93850	Glioblastoma	Cancer	N/A	N/A	Serum of the GBM patients and healthy volunteers	Serum circulating miRNA	30	Serum	NA	Norgen Plasma/Serum Circulating & Exosomal RNA Purification Mini Kit	N/A	N/A	Brain	N/A	N/A	Public on Nov 01, 2017	N/A	N/A	N/A	28931080	GPL22948	State Key Laboratory Human microRNA array 1858
EMIR00000187	GSE124489	Myeloma	Cancer	N/A	N/A	Serum exosomes of healthy individuals and myeloma 	Serum derived exosomes	24	Serum	ExoQuick-TM Kit	miRNeasy Micro Kit	N/A	N/A	Blood system	N/A	N/A	Public on Jan 22, 2020	N/A	N/A	N/A	31915680	GPL19117	[miRNA-4] Affymetrix Multispecies miRNA-4 Array
EMIR00000188	GSE39845	Colorectal carcinoma	Cancer	N/A	N/A	Blood of colorectal cancer	Whole blood circulating miRNA	20	Whole blood	NA	miRNeasy Mini Kit	N/A	N/A	Intestine	N/A	N/A	Public on Dec 30, 2013	Yes	N/A	N/A	23758639	GPL14613	[miRNA-2] Affymetrix Multispecies miRNA-2 Array
EMIR00000189	GSE54156	Myeloma	Cancer	N/A	N/A	Plasma of patients and healthy controls.	Plasma circulating miRNA	16	Plasma	NA	mirVana PARIS Kit	N/A	N/A	Blood system	Yes	Male and Female	Public on Jan 16, 2014	N/A	N/A	N/A	25216866	GPL16770	Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version)
EMIR00000190	GSE139164	Nasopharyngeal carcinoma	Cancer	Irradiation	N/A	Serum of NPC patients	Serum circulating miRNA	12	Serum	NA	Trizol reagent	N/A	N/A	Nasopharynx	Yes	Male and Female	Public on Mar 30, 2020	Yes	N/A	N/A	32198434	GPL25134	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (miRNA ID version)
EMIR00000191	GSE141208	Retinoblastoma	Cancer	N/A	N/A	Plasma and extracellular Vesicles from 12 retinoblastoma patients and 12 age matched healthy controles	"Plasma derived extracellular vesicles; Plasma circulating miRNA"	44	Plasma	Total Exosome Isolation Kit	Trizol reagent	N/A	N/A	Eye	Yes	Male and Female	Public on Mar 31, 2020	N/A	N/A	N/A	32287312	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
